Date,Clicks,Impressions,CTR,Position
2025-11-03,0,0,,
2025-11-04,0,2,0%,70.5
2025-11-05,3,78,3.85%,57.7
2025-11-06,1,173,0.58%,64.3
2025-11-07,1,244,0.41%,70.2
2025-11-08,6,425,1.41%,66.3
2025-11-09,3,519,0.58%,73.5
2025-11-10,0,504,0%,76
2025-11-11,0,518,0%,75.1
2025-11-12,1,654,0.15%,75.4
2025-11-13,1,875,0.11%,78.4
2025-11-14,0,611,0%,74.2
2025-11-15,2,509,0.39%,74.8
2025-11-16,0,453,0%,71.2
2025-11-17,2,556,0.36%,72.7
2025-11-18,3,476,0.63%,70.5
2025-11-19,0,409,0%,70.3
2025-11-20,1,342,0.29%,72.5
2025-11-21,0,357,0%,74.2
2025-11-22,0,318,0%,73.3
2025-11-23,6,375,1.6%,67.9
2025-11-24,1,533,0.19%,73
2025-11-25,1,546,0.18%,71.6
2025-11-26,0,674,0%,72.1
2025-11-27,0,564,0%,72.4
2025-11-28,1,755,0.13%,68.8
2025-11-29,0,1045,0%,73
2025-11-30,0,1024,0%,73.3
2025-12-01,0,1006,0%,71.8
2025-12-02,1,973,0.1%,70.5
2025-12-03,0,2132,0%,73.3
2025-12-04,5,2221,0.23%,73.5
2025-12-05,1,3109,0.03%,72.8
2025-12-06,0,2641,0%,70
2025-12-07,0,2935,0%,70.7
2025-12-08,2,2738,0.07%,70.3
