Country,Clicks,Impressions,CTR,Position
Nepal,26,81,32.1%,10.33
India,5,309,1.62%,51.3
Pakistan,4,98,4.08%,31.76
United States,2,18122,0.01%,73.58
Belgium,1,125,0.8%,80.06
Turkey,1,75,1.33%,31.47
Czechia,1,11,9.09%,22.27
Hong Kong,1,10,10%,18.1
Serbia,1,10,10%,56.3
United Kingdom,0,2748,0%,72.51
Germany,0,1797,0%,72.45
Canada,0,1293,0%,79.29
Ukraine,0,777,0%,67.49
Switzerland,0,636,0%,72.96
Austria,0,590,0%,65.51
France,0,519,0%,71.64
Belarus,0,469,0%,80.05
Poland,0,301,0%,71.23
Spain,0,265,0%,75.66
Russia,0,256,0%,71.04
Netherlands,0,249,0%,77.79
Australia,0,236,0%,69.99
Luxembourg,0,219,0%,84.21
Kazakhstan,0,178,0%,79.3
Brazil,0,156,0%,56.54
Vietnam,0,154,0%,65.97
Malta,0,149,0%,70.12
Argentina,0,112,0%,72.81
Mexico,0,98,0%,76.94
Ireland,0,97,0%,61.03
Japan,0,93,0%,44.72
New Zealand,0,71,0%,86.83
Italy,0,67,0%,68.33
United Arab Emirates,0,60,0%,33.7
Philippines,0,57,0%,56.96
Sweden,0,54,0%,29.87
Venezuela,0,52,0%,76.46
Colombia,0,49,0%,80.1
Bangladesh,0,41,0%,37.88
Indonesia,0,41,0%,54.88
Thailand,0,37,0%,71.27
Algeria,0,37,0%,71.3
Denmark,0,35,0%,72.97
Egypt,0,34,0%,62.29
South Korea,0,33,0%,22.48
Saudi Arabia,0,23,0%,61.13
Portugal,0,18,0%,54.33
South Africa,0,18,0%,59.78
Peru,0,16,0%,71.12
Morocco,0,13,0%,27.38
Uruguay,0,13,0%,82.15
Taiwan,0,11,0%,32.64
Israel,0,11,0%,33.45
Singapore,0,11,0%,55.55
Norway,0,10,0%,46.9
Iraq,0,10,0%,51.6
Georgia,0,10,0%,55.5
Ecuador,0,9,0%,59.67
US Virgin Islands,0,9,0%,84.44
Bulgaria,0,8,0%,18
Chile,0,8,0%,36.88
Iran,0,8,0%,49.5
Dominican Republic,0,7,0%,61.57
Panama,0,7,0%,79.29
Lebanon,0,6,0%,24.67
Nigeria,0,6,0%,29.17
Paraguay,0,6,0%,32.67
Romania,0,6,0%,42.83
Malaysia,0,6,0%,61
Albania,0,6,0%,66
Cambodia,0,5,0%,50.8
Estonia,0,5,0%,54
Costa Rica,0,5,0%,54.8
Finland,0,5,0%,55
Moldova,0,5,0%,59.6
Hungary,0,5,0%,65.8
Kenya,0,5,0%,67.2
Uzbekistan,0,5,0%,68.2
Sri Lanka,0,5,0%,94
China,0,4,0%,36
Azerbaijan,0,4,0%,42.5
Tunisia,0,4,0%,47.25
Lithuania,0,4,0%,65.5
Armenia,0,4,0%,85.75
Qatar,0,3,0%,6.67
Jordan,0,3,0%,12.33
Libya,0,3,0%,26.33
Unknown Region,0,3,0%,49.33
Bosnia & Herzegovina,0,3,0%,55
Bolivia,0,3,0%,63.33
Kuwait,0,3,0%,63.33
Palestine,0,3,0%,81
El Salvador,0,3,0%,82.33
Greece,0,2,0%,3.5
Tajikistan,0,2,0%,5
Latvia,0,2,0%,9
Slovenia,0,2,0%,22
Iceland,0,2,0%,46.5
Ethiopia,0,2,0%,49.5
Oman,0,2,0%,59
Mongolia,0,2,0%,84.5
Angola,0,2,0%,94
Mauritius,0,1,0%,2
Somalia,0,1,0%,5
Guatemala,0,1,0%,8
Macau,0,1,0%,9
Mali,0,1,0%,9
Niger,0,1,0%,9
Benin,0,1,0%,10
Jersey,0,1,0%,10
Barbados,0,1,0%,19
Fiji,0,1,0%,25
Slovakia,0,1,0%,32
Sudan,0,1,0%,56
Cuba,0,1,0%,75
Côte d’Ivoire,0,1,0%,76
Kosovo,0,1,0%,77
Burkina Faso,0,1,0%,78
Gabon,0,1,0%,78
Macedonia,0,1,0%,81
Laos,0,1,0%,82
St. Helena,0,1,0%,87
Papua New Guinea,0,1,0%,88
Mozambique,0,1,0%,91
Congo - Brazzaville,0,1,0%,95
Myanmar (Burma),0,1,0%,97
Guinea,0,1,0%,98
Nicaragua,0,1,0%,98
Timor-Leste,0,1,0%,100
