Country,Clicks,Impressions,CTR,Position
Nepal,13,32,40.62%,8.66
India,2,87,2.3%,56.08
Pakistan,2,23,8.7%,20.74
Czechia,1,2,50%,7.5
United States,0,2339,0%,74.6
United Kingdom,0,651,0%,75.25
Canada,0,361,0%,83.07
Germany,0,220,0%,74.39
Switzerland,0,196,0%,77.33
Belarus,0,181,0%,81.71
Austria,0,154,0%,71.16
Ukraine,0,149,0%,72.93
Russia,0,114,0%,67.65
Luxembourg,0,111,0%,82.45
France,0,107,0%,75.68
Kazakhstan,0,92,0%,81.62
Netherlands,0,83,0%,76.25
Malta,0,62,0%,78.15
Poland,0,43,0%,75.33
Australia,0,42,0%,73.38
Belgium,0,37,0%,78.81
Brazil,0,35,0%,63.69
Mexico,0,30,0%,82.43
Ireland,0,29,0%,80.28
Venezuela,0,28,0%,75.46
New Zealand,0,28,0%,86.36
Vietnam,0,26,0%,59.27
Spain,0,25,0%,88.88
Colombia,0,22,0%,77.41
Italy,0,20,0%,58.9
Denmark,0,19,0%,65.37
Algeria,0,18,0%,68.44
Philippines,0,17,0%,62.53
Argentina,0,17,0%,78.12
Japan,0,13,0%,27.46
Thailand,0,11,0%,68.55
Indonesia,0,10,0%,46
Bangladesh,0,9,0%,30.67
United Arab Emirates,0,9,0%,32.22
Turkey,0,8,0%,8.88
Egypt,0,7,0%,47.29
Sweden,0,6,0%,7
Georgia,0,5,0%,46.2
South Africa,0,5,0%,53
Saudi Arabia,0,5,0%,68.6
Portugal,0,5,0%,81
China,0,4,0%,36
Albania,0,4,0%,59.75
Iran,0,3,0%,6
South Korea,0,3,0%,21.67
Chile,0,3,0%,24
Iraq,0,3,0%,32
Ecuador,0,3,0%,41.33
Morocco,0,2,0%,5
Israel,0,2,0%,7
Bulgaria,0,2,0%,8
Lebanon,0,2,0%,23
Singapore,0,2,0%,55.5
Hungary,0,2,0%,77
Serbia,0,2,0%,80.5
Finland,0,2,0%,89.5
Uzbekistan,0,2,0%,90
Libya,0,1,0%,4
Taiwan,0,1,0%,4
Greece,0,1,0%,5
Jordan,0,1,0%,5
Somalia,0,1,0%,5
Panama,0,1,0%,6
Slovenia,0,1,0%,6
Estonia,0,1,0%,9
Iceland,0,1,0%,9
Macau,0,1,0%,9
Mali,0,1,0%,9
Niger,0,1,0%,9
Azerbaijan,0,1,0%,10
Hong Kong,0,1,0%,10
Dominican Republic,0,1,0%,11
Fiji,0,1,0%,25
Costa Rica,0,1,0%,48
Uruguay,0,1,0%,48
Ethiopia,0,1,0%,50
Tunisia,0,1,0%,59
Moldova,0,1,0%,73
Peru,0,1,0%,82
Lithuania,0,1,0%,83
Armenia,0,1,0%,88
Mozambique,0,1,0%,91
Mongolia,0,1,0%,93
Palestine,0,1,0%,94
El Salvador,0,1,0%,97
Guinea,0,1,0%,98
Nigeria,0,1,0%,98
Nicaragua,0,1,0%,98
